key,title,year,Test Activities,GenAI Model,Framework/Agent,Usage,Evaluation / Maturity,Limitations,Notes / References,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-394626652,Test Amplification for REST APIs via Single and Multi-agent LLM Systems,2026,Casos de teste da API REST,OpenAI’s GPT-4o mini model,LangGraph LangChain,REST API,"As ferramentas tradicionais muitas vezes não têm capacidade para refinamento dinâmico e iterativo com base no feedback de execução. Nossos sistemas LLM agênticos para amplificação de API REST abordam essas lacunas, aumentando a cobertura com apenas alguns casos de teste direcionados, o que permite um pipeline de CI/CD mais qualitativo e automatizado",Ainda existem oportunidades para melhorar os resultados. O prompting desempenha um papel crucial; prompts mais bem projetados podem produzir resultados ainda melhores. A qualidade da documentação do OpenAPI é outro aspecto importante da precisão dos resultados. É a principal base de conhecimento da nossa abordagem e uma documentação OpenAPI mais abrangente pode produzir melhores resultados,"semelhante à forma como o APITestGenie validamos nossa abordagem usando o PetStore LangSmith Existem várias direções promissoras para pesquisas futuras que se baseiam nas descobertas e insights atuais de trabalhos relacionados. Um caminho importante é explorar o uso de modelos de código aberto, como o LLaMA 3.3, que mostraram desempenho competitivo em relação ao GPT-4o em avaliações recentes. Aproveitar modelos de código aberto pode aumentar a segurança ao permitir uma implantação totalmente local e, ao mesmo tempo, reduzir custos.",,,Lecture Notes in Computer Science,,16107,,161 - 177,"Nooyens, Robbe and Bardakci, Tolgahan and Beyazit, Mutlu and Demeyer, Serge",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016905732&doi=10.1007%2F978-3-032-05188-2_11&partnerID=40&md5=99a684064135afb0a18884b210cdff0c,,,,,Cited by: 0,10.1007/978-3-032-05188-2_11,Amplification; Application programming interfaces (API); Intelligent agents; Interface states; Mo...,,,Test Amplification for REST APIs via Single and Multi-agent LLM Systems.pdf
rayyan-394626653,Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies,2026,automação da modelagem de ameaças,"OpenAI o3-mini, OpenAI o1, and Claude 3.7 Sonnet",-,o uso da segurança cibernética pode ajudar os testadores a identificar os principais riscos mais cedo e concentrar os esforços de teste de forma mais eficaz,"A avaliação comparou três modelos de linguagem (o1, o3 e Sonnet) em duas configurações operacionais: agente único e dois agentes, utilizando precisão, recall e F1-score como métricas. Os resultados mostram um trade-off claro entre precisão e recall. A configuração de agente único apresentou maior recall, indicando melhor cobertura de ameaças, porém com menor precisão e mais falsos positivos. Já a configuração com dois agentes aumentou consistentemente a precisão, mas reduziu o recall, resultando na detecção de menos ameaças.  Entre os modelos, o Sonnet apresentou o melhor desempenho geral em ambas as configurações, alcançando os maiores F1-scores e mantendo um equilíbrio mais consistente entre precisão e recall. O modelo o1 obteve a maior precisão, mas com recall muito baixo, o que limitou seu desempenho global. O o3 apresentou resultados mais equilibrados, porém inferiores aos do Sonnet.  Em síntese, a configuração de agente único é mais adequada quando a prioridade é cobertura completa de ameaças, enquanto a configuração com dois agentes favorece cenários que exigem maior precisão. Em ambos os casos, o Sonnet demonstrou ser o modelo mais confiável para apoiar testes de cibersegurança por meio da identificação automatizada de ameaças.","a qualidade destes modelos não superou consistentemente a dos modelos criados por especialistas humanos. Os resultados do LLM muitas vezes careciam de profundidade, omitiam certas ameaças ou continham raciocínio falho","Estrutura STRIDE (Spoofing, Adulteração, Repúdio, Divulgação de Informações, Negação de Serviço, Elevação de Privilégio) O conjunto de dados usado neste estudo foi compilado a partir de vários exemplos de modelos de ameaças disponíveis publicamente https://github.com/TalEliyahu/Threat_Model_Examples 8 https://github.com/hysnsec/awesome-threat-modelling?tab=readme-ov-file# Para facilitar a análise, os documentos coletados foram pré-processados e divididos em dois conjuntos de dados estruturados: – Conjunto de dados de descrições do sistema: inclui descrições textuais de 24 sistemas diferentes. – Conjunto de dados da lista de ameaças: Contém um total de 745 ameaças identificadas associadas a estes sistemas, com uma média de aproximadamente 31 ameaças por sistema. Outra descoberta importante é que os LLMs sugeriram alguns novos métodos de ataque que não foram incluídos no conjunto de dados. Essas ideias de ataque não foram vistas antes nos dados de treinamento, mas são lógicas e podem ser usadas por invasores. Isso significa que os LLMs podem ajudar a identificar ameaças futuras antes que elas se tornem problemas reais, tornando-os ferramentas úteis na pesquisa de segurança cibernética e no planejamento de defesa. Metodologia DevSecOps modelo PYTM",,,Lecture Notes in Computer Science,,16107,,231 - 247,"Zelenskiy, Leonid and Sadovykh, Andrey",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016904785&doi=10.1007%2F978-3-032-05188-2_15&partnerID=40&md5=f99ae9370a58abd4366247580d9c8511,,,,,Cited by: 0,10.1007/978-3-032-05188-2_15,Cybersecurity; Industrial management; Information systems; Information use; Network security; Cyb...,,,978-3-032-05188-2.pdf
rayyan-394626662,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,2025,"Red Teaming Automatizado (Teste Adversarial) e Avaliação de Segurança de Conteúdo. O objetivo é gerar prompts de ataque que exponham vulnerabilidades no modelo alvo, forçando-o a gerar conteúdo tóxico ou ilegal.","Llama-2-7b-chat e Vicuna-7b-v1.5 (Modelos Alvo). Usa um LLM ""Gerador"" para criar os ataques iniciais.",RAPT (Reinforcement Learning-based Adaptive Prompt Testing). Arquitetura cíclica composta por: 1. Generator: Um LLM que cria candidatos a casos de teste (ataques). 2. Selector: Um agente de Aprendizagem por Reforço (Contextual Multi-Armed Bandit) que aprende quais ataques são mais eficazes e seleciona apenas os melhores para enviar ao alvo.,"Otimização Adaptativa de Testes: Diferente de frameworks que geram milhares de testes aleatórios (fuzzing cego), o RAPT: 1. Gera um lote de ataques. 2. O Selector estima a probabilidade de sucesso baseado no histórico. 3. Executa apenas os testes de alta probabilidade. 4. Usa o resultado (sucesso/falha) para atualizar a política do agente (Update Autônomo da Estratégia).","Alta Maturidade (Publicado em Journal Q1). Métricas: Taxa de Sucesso de Ataque (ASR), Eficiência de Consulta (número de queries para achar falha) e Diversidade. Resultados: O RAPT superou baselines de estado da arte (como PEZ e GBDA) atingindo maior ASR com menos consultas ao modelo, provando a tese de eficiência.","Dependência do Gerador: A criatividade dos ataques ainda é limitada pelo vocabulary do LLM gerador inicial. Foco em Texto: O estudo limita-se a ataques textuais, sem considerar injeções multimodais (imagens) que são tendências em 2025.","Eficiência via Seleção Inteligente: Para a sua tese, este é o argumento técnico para ""Eficiência"": não basta gerar testes autonomamente; é preciso ter um mecanismo (neste caso, RL) para filtrar e priorizar os testes antes da execução. Isso reduz custos computacionais e tempo de CI/CD.",,,Knowledge-Based Systems,,329,,,"Liu, Shuo and Cheng, Xiang and Su, Sen",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015138753&doi=10.1016%2Fj.knosys.2025.114404&partnerID=40&md5=71877d405c7b4e49a76a50db48ef3ed7,,,,,Cited by: 0,10.1016/j.knosys.2025.114404,Computational linguistics; Markov processes; Natural language processing systems; Query processin...,,,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation.pdf
rayyan-394626667,DCA-Bench: A Benchmark for Dataset Curation Agents,2025,"casos de teste, Cada caso de teste normalmente contém vários arquivos, projetados para criar um ambiente mínimo para descobrir problemas ocultos de qualidade de dados","agente curador de linha de base, que é baseado na API OpenAI Assistant com GPT-4-0125-preview equipado com a ferramenta Code Interpreter Para desenvolver um avaliador confiável e econômico, testamos os seguintes modelos como backend GPT-4o (2024-11-20); GPT-4o (2025-05-13); o3-mini (31/01/2025); GPT-4 (prévia 0125); GPT-3.5-Turbo; Llama 3.3 70B Instruct; Llama 3 70B Instruct; DeepSeek-R1; DeepSeek-V3",SGLang LangChain,A coleção Dataset Curation Agent Benchmark de casos representativos de problemas de qualidade de dados de plataformas populares de conjuntos de dados,"A curadoria de conjuntos de dados é um problema complexo e abrangente, e os casos de teste que coletamos podem não cobrir totalmente todo o conjunto de problemas. Pesquisas futuras podem se concentrar no desenvolvimento de sistemas de agentes LLM mais sofisticados, estabelecendo as melhores práticas para gerenciar informações multimodais na curadoria de conjuntos de dados","devido à complexidade dos arquivos do conjunto de dados, não podemos garantir que todos os problemas nos arquivos do conjunto de dados no DCA-Bench sejam rotulados",Dataset Quality Management,,,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,2,,5482 - 5492,"Huang, Benhao and Yu, Yingzhuo and Huang, Jin and Zhang, Xingjian and Ma, Jiaqi W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014362039&doi=10.1145%2F3711896.3737422&partnerID=40&md5=fe0bf44c620b538b3308c99a81c94e05,,,,,Cited by: 0; All Open Access; Gold Open Access,10.1145/3711896.3737422,Artificial intelligence; Data curation; Human computer interaction; Intelligent agents; Large dat...,,,2406.07275v2_40_.pdf
rayyan-394626670,Mutation-Guided LLM-based Test Generation at Meta,2025,Teste de mutação,Llama 3.1 70Bn,TestGen-LLM,Meta’s Llama team,"valiação industrial em larga escala: abordagem implementada e avaliada em um ambiente industrial real (Meta), indicando alto nível de maturidade experimental.  Prova de conceito avançada / pré-adoção industrial: sistema ACH demonstra viabilidade prática ao integrar geração de mutantes e geração de testes baseada em LLMs.  Resultados empíricos promissores, com evidências de que LLMs reduzem barreiras históricas da aplicação de mutation testing na indústria.  Não totalmente generalizado: apesar dos resultados positivos, a maturidade ainda depende de validação em outros contextos (linguagens, domínios e tipos de falhas). valiação industrial em larga escala: abordagem implementada e avaliada em um ambiente industrial real (Meta), indicando alto nível de maturidade experimental.  Prova de conceito avançada / pré-adoção industrial: sistema ACH demonstra viabilidade prática ao integrar geração de mutantes e geração de testes baseada em LLMs.  Resultados empíricos promissores, com evidências de que LLMs reduzem barreiras históricas da aplicação de mutation testing na indústria.  Não totalmente generalizado: apesar dos resultados positivos, a maturidade ainda depende de validação em outros contextos (linguagens, domínios e tipos de falhas). Resultados empíricos promissores, com evidências de que LLMs reduzem barreiras históricas da aplicação de mutation testing na indústria. Não totalmente generalizado: apesar dos resultados positivos, a maturidade ainda depende de validação em outros contextos (linguagens, domínios e tipos de falhas).","Generalização incerta: resultados podem ser específicos a Kotlin, Android, contexto da Meta ou a falhas de privacidade simuladas. Relevância dos mutantes: dificuldade em garantir que mutantes gerados representem instâncias específicas de falhas reais, e não apenas a classe geral do problema. Ausência de métricas formais de similaridade entre falhas, dificultando a avaliação consistente da relevância dos mutantes. Dependência de oráculo de regressão: abordagem protege contra regressões futuras, mas não detecta falhas já existentes no código. Problema do oráculo não resolvido: ausência de inferência automática de oráculos com alta precisão pode gerar falsos positivos e desperdício de esforço. Necessidade de maior precisão em geração de testes e oráculos para evitar sobrecarga em engenheiros. Fluxos LLM ainda exploratórios: necessidade de mais pesquisa em fine-tuning, prompt engineering, re-prompting e Chain-of-Thought para garantir relevância e confiabilidade.",O modelo de linguagem única Llama 3.1 70Bn [42] foi utilizado em todos os agentes relatados. Os prompts usados pelos três agentes do LLM,,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,180 - 191,"Foster, Christopher and Gulati, Abhishek and Harman, Mark and Harper, Inna and Mao, Ke and Ritchey, Jillian and Robert, Hervé and Sengupta, Shubho",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013964900&doi=10.1145%2F3696630.3728544&partnerID=40&md5=72e4cc0d7327e32e3ebb61d1e2662a5f,,,,,Cited by: 1,10.1145/3696630.3728544,Automatic test pattern generation; Engineers; Software testing; Automated test generations; Equiv...,,,Mutation-Guided LLM-based Test Generation at Meta_r3t.pdf
rayyan-394626672,ProphetAgent: Automatically Synthesizing GUI Tests from Test Cases in Natural Language for Mobile Apps,2025,Testes de GUI de casos de teste,"GPT4o Para responder ao RQ2, realizamos testes usando um LLM diferente, Doubao-pro-128k",ProphetAgent,"Mobile Apps Avaliação do método em aplicações Android reais, incluindo dois aplicativos industriais de larga escala (Douyin e Doubao, da ByteDance) e seis aplicativos Android de código aberto, com o objetivo de validar a efetividade e a generalização da abordagem em cenários reais de teste funcional.","Avaliação empírica extensa: método avaliado em 120 casos de teste, com taxa de conclusão de execução de 78,1% e baixa taxa de falsos positivos (6,8%). Validação em aplicações industriais reais (ex.: Douyin), aumentando a credibilidade e relevância prática dos resultados Validação humana parcial: verificação manual da acurácia semântica realizada por profissionais (88% de acurácia) Comparação indireta com trabalhos relacionados, indicando desempenho superior, embora sem comparação direta por indisponibilidade de ferramentas anteriores. Estágio avançado de protótipo / pré-adoção industrial, demonstrando ganhos claros de produtividade e viabilidade prática","Suporte limitado ao nível de abstração: ProphetAgent lida apenas com casos de teste de baixo nível, exigindo que cada sentença represente uma única ação, não suportando intenções de alto nível. Dependência do grafo de conhecimento (CUTG): só gera testes executáveis para cenários previamente explorados e incluídos no grafo. Cobertura condicionada à exploração automática: uso de técnicas básicas de exploração (Droidbot), o que limita o alcance de cenários mais complexos ou raros Sensibilidade ao formato de entrada: requer descrições textuais cuidadosamente formatadas para garantir parsing e execução corretos Ameaças à validade externa: resultados podem depender da representatividade dos aplicativos selecionados Ameaças à validade interna: erros na anotação semântica podem afetar a efetividade do método, apesar da acurácia relativamente alta (88%) Generalização dependente de avanços futuros em técnicas de exploração e enriquecimento do grafo de conhecimento","O objetivo principal do ProphetAgent é permitir que desenvolvedores e testadores executem automaticamente etapas de teste em linguagem natural. O SemanticAgent anota cada informação de transição com informações semânticas explícitas em páginas de interface do usuário e eventos de interface do usuário. O GenerationAgent é responsável por combinar um caminho no CUTG que se alinha com o caso de teste escrito em linguagem natural e gerar código executável para execução. Implantamos o GUI Explorer para explorar o aplicativo de destino e registrar as informações de transição da GUI após cada evento da IU ser executado. O Graph Builder aproveita os dados de transição da GUI coletados pelo GUI Explorer para agrupar páginas e eventos da IU construindo o CUTG enriquecido com informações semânticas Nosso experimento visa responder a estas questões de pesquisa: • RQ1: Quão eficaz e eficiente é o ProphetAgent na síntese de testes de GUI a partir das etapas de teste em linguagem natural e como ele se compara às técnicas de última geração? • RQ2: Qual é o impacto dos diferentes agentes LLM no método que propomos? Comparamos nosso método com duas técnicas principais para converter linguagem natural em testes de GUI executáveis: uma técnica mais estabelecida (AppAgent [31]) e uma técnica de última geração recente (AutoDroid [28]), ambas as quais utilizam LLMs para gerar testes de GUI executáveis para aplicativos Android a partir de frases que descrevem tarefas de GUI. https://github.com/prophetagent/Home Uma demonstração do ProphetAgent está disponível em https://youtu. be/iCsGis__5gg",,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,174 - 179,"Kong, Qichao and Lv, Zhengwei and Xiong, Yiheng and Sun, Jingling and Su, Ting and Wang, Dingchun and Li, Letao and Yang, Xu and Huo, Gang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013961463&doi=10.1145%2F3696630.3728543&partnerID=40&md5=b5c6eee38a63a745a4434ad68f42cac5,,,,,Cited by: 0,10.1145/3696630.3728543,Application programs; Computer software selection and evaluation; Graphic methods; Graphical user...,,,fse2025-ProphetAgent.pdf
rayyan-394626673,From Overload to Insight: Bridging Code Search and Code Review with LLMs,2025,"Apoio à revisão de código Análise de mudanças (change sets) Atua indiretamente sem garantia de qualidade, mas não gera nem executa testes. Atividades de teste: Suporte à revisão de código / Análise de qualidade (indireta) Propõe um assistente humano no circuito baseado em LLM para integrar os resultados da pesquisa de código na revisão de código, com o objetivo de reduzir a sobrecarga cognitiva e melhorar a eficácia do revisor.","O artigo não especifica explicitamente modelos concretos (ex.: GPT-4, Claude)","LLM-based Interactive Assistant (Human-in-the-Loop) Não utiliza frameworks explícitos como LangChain, AutoGen ou LangGraph.","Suporte à revisão de código (Code Review) Uso principal:  Reduzir sobrecarga cognitiva dos revisores  Agregar e contextualizar resultados de múltiplas ferramentas  Permitir interações context-aware, guiadas por perguntas do revisor Uso principal:  Reduzir sobrecarga cognitiva dos revisores  Agregar e contextualizar resultados de múltiplas ferramentas  Permitir interações context-aware, guiadas por perguntas do revisor","Estágio exploratório / conceitual com protótipo O trabalho propõe uma nova direção de pesquisa ao integrar code search + code review mediado por LLMs Não há validação em larga escala nem avaliação quantitativa formal O foco está em design, interação humano-no-loop e potencial de impacto, não em maturidade industrial",Ausência de avaliação empírica quantitativa Não há estudo de:  Precisão  Recall  Impacto mensurável na qualidade do código Dependência de:  Qualidade das ferramentas de busca existentes  Capacidade do LLM de sintetizar corretamente informações heterogêneas Não aborda:  Custos computacionais  Questões de segurança ou privacidade Possível risco de:  Sobrecarga cognitiva se mal projetado  Confiança excessiva nas respostas do LLM,"O sistema atua como:  Assistente interativo para code review  Camada de orquestração e sumarização de resultados de ferramentas de busca Arquitetura conceitual, centrada na interação contínua entre humano e LLM",,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,656 - 660,"Rao, Nikitha and Vasilescu, Bogdan and Holmes, Reid",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013959386&doi=10.1145%2F3696630.3728518&partnerID=40&md5=44b507a779648293d9b152108a61218b,,,,,Cited by: 0; All Open Access; Gold Open Access,10.1145/3696630.3728518,Automation; Computer software selection and evaluation; Software quality; Software testing; Stati...,,,From_Overload_to_Insight_Bridging_Code_Search_and_Code_Review_with_LLMs.pdf
rayyan-394626679,"AI-DRIVEN TOOLS IN MODERN SOFTWARE QUALITY ASSURANCE: AN ASSESSMENT OF BENEFITS, CHALLENGES, AND FUTURE DIRECTIONS",2025,"O artigo cobre praticamente todo o espectro de QA, incluindo Análise estática de código  Geração de casos de teste funcionais  Validação de casos de teste  Geração de testes unitários e de integração  Otimização de suíte de testes  Mutation testing  Testes end-to-end automatizados  Testes exploratórios  Equivalence partitioning  Metamorphic testing  Validação de aplicações baseadas em IA","múltiplos modelos de IA generativa OpenAI: GPT-4.5, GPT-4o, GPT-4o-mini Google: Gemini-2.5-Pro, Gemini-2.0-Flash-Lite Mistral: Mistral-Large, Ministral-8B Transformers especializados: CodeBERT (análise estática) O artigo também compara modelos grandes vs. pequenos, analisando custo, desempenho e flakiness","O artigo não propõe um único framework proprietário, mas descreve uma arquitetura conceitual composta por múltiplos agentes e componentes, incluindo LLM-as-a-Generator (test case e unit test generation);  LLM-as-a-Judge para validação de casos de teste;  Agentes ReAct para execução end-to-end (reasoning + acting);  Integração com ferramentas existentes (SonarQube, CodeBERT, Playwright, BrowserUse);  Pipelines com RAG (Retrieval-Augmented Generation) para enriquecimento de contexto;  Uso de mutation testing guiado por LLM Portanto, trata-se de um framework arquitetural híbrido e agent-based, orientado a tarefas de QA","O uso principal é Quality Assurance moderna em sistemas distribuídos e aplicações web/enterprise, com foco em Acelerar a criação de testes a partir de requisitos textuais;  Reduzir custo e esforço manual em QA;  Automatizar regressões end-to-end de forma mais resiliente a mudanças de UI;  Apoiar shift-left testing;  Melhorar cobertura e confiabilidade de testes;  Suporte a pipelines CI/CD com agentes inteligentes O trabalho demonstra uso prático e experimental avançado, indicando aplicabilidade real em ambientes industriais, embora ainda com necessidade de supervisão humana","O trabalho representa uma evolução consolidada do uso de IA em QA, saindo de aplicações isoladas (ex.: geração de testes ou análise estática pontual) para uma visão integrada ao longo de todo o SDLC. Diferentemente de estudos anteriores focados em uma única técnica, o artigo demonstra a combinação progressiva de:  análise estática baseada em transformers,  geração automática de casos de teste,  geração de testes estruturais (unitários e de integração),  otimização via mutation testing,  automação end-to-end com agentes baseados em LLM Além disso, avança o estado da arte ao avaliar maturidade prática, custos, flakiness e viabilidade industrial, indicando uma transição clara de pesquisa exploratória para adoção semi-industrial / experimental avançada","O estudo identifica limitações claras e relevantes para adoção prática nconsistência de formato e qualidade, especialmente em modelos menores;  Tendência dos agentes a “corrigir” testes negativos, gerando falsos negativos;  Geração de cobertura semanticamente redundante;  Baixa explicabilidade dos LLMs (black-box);  Risco de loops de raciocínio em agentes menos capazes;  Dependência de APIs externas e custos computacionais;  Necessidade de verificação humana dos resultados;  Potencial efeito de deskilling em profissionais de QA Essas limitações mostram que a tecnologia ainda requer governança, guardrails e validação rigorosa","Os modelos são usados em diferentes papéis:  geração de testes,  julgamento de qualidade (LLM-as-a-Judge),  execução agentic end-to-end,  análise semântica,  suporte à mutation testing Código, dados e logs disponibilizados publicamente no GitHub eferências extensivas sobre mutation testing, ReAct, metamorphic testing e LLM-as-a-Judge",,,Technology Audit and Production Reserves,,3,2,44 - 54,"Pysmennyi, Ihor and Kyslyi, Roman and Kleshch, Kyrylo",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011843831&doi=10.15587%2F2706-5448.2025.330595&partnerID=40&md5=25baf85fa1312707ac7952b86bd77ad4,,,,,Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.15587/2706-5448.2025.330595,,,,"AI-DRIVEN TOOLS IN MODERN SOFTWARE QUALITY ASSURANCE AN ASSESSMENT OF BENEFITS, CHALLENGES, AND FUTURE DIRECTIONS_8u9.pdf"
rayyan-394626697,Beyond Test Cases: Multi-Agent Collaboration for Detecting Defects in Full-Score Code Implementations,2025,Avaliação funcional de código Detecção de defeitos semânticos Geração de contraexemplos Validação formal de comportamentos Análise além de test cases tradicionais Verificação de conformidade com especificações Vai além de testes: análise semântica e verificação formal guiada por LLMs,"O artigo não fixa um único modelo específico, focando no papel funcional do LLM, não no fornecedor Uso de LLMs como agentes de raciocínio e síntese, não como oráculo final Large Language Models (LLMs) utilizados para:  geração de especificações formais,  análise semântica do código,  raciocínio sobre possíveis defeitos","Maveric: um framework multiagente composto por quatro agentes especializados Template Generator Agent  Deriva especificações formais a partir da descrição do problema Consistency Checker Agent  Verifica alinhamento semântico entre a especificação gerada e o problema original Code Analyzer Agent  Analisa o código, identifica defeitos potenciais e gera contraexemplos Counterexample Validator Agent  Valida formalmente os contraexemplos usando técnicas de verificação formal Arquitetura multi-agent + formal methods, fortemente modular e orientada a verificação",Avaliação automática de código em plataformas educacionais Detecção de defeitos ocultos em códigos que passam todos os testes Especialmente útil onde test cases são insuficientes para garantir corretude,"Avança o estado da arte ao ir além de avaliação baseada apenas em casos de teste, atacando explicitamente o problema de falsos positivos de corretude Evolui de abordagens LLM-only para uma arquitetura híbrida LLM + verificação formal.  Introduz uma colaboração multiagente especializada, onde cada agente atua em uma etapa distinta do processo de avaliação Representa um passo importante rumo a avaliação de corretude semântica completa, especialmente em ambientes educacionais e de programação competitiva","Dependência da qualidade da especificação formal gerada automaticamente pelo LLM Potencial limitação de generalização para domínios fora de programação algorítmica bem especificada Avaliação focada em 100 submissões completas, o que pode limitar escalabilidade para grandes bases industriais Requer infraestrutura de verificação formal, o que pode aumentar complexidade de adoção Voltado principalmente para defeitos funcionais, não cobrindo aspectos não funcionais (performance, segurança, usabilidade)","Avaliação empírica com 100 códigos de nota máxima, oriundos de 10 tarefas reais de uma plataforma educacional amplamente utilizada Revisão manual identificou 32 códigos com defeitos funcionais Maveric detectou 31 defeitos corretamente, sem falsos positivos Tempo médio de avaliação: < 1 minuto por programa LLM-only baseline: 25 defeitos detectados + 6 falsos positivos Demonstra vantagem clara da colaboração multiagente com verificação formal.",,,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",,,,124 - 129,"Li, Yiwei and Liu, Jiaxin and Hu, Yanfeng and Liu, Chen and Zhang, Yating and Yin, Liangze and Dong, Wei",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018743838&doi=10.18293%2FSEKE2025-053&partnerID=40&md5=6b4813dad78e2b4f3340c1ac6b4a3fe8,,,,,Cited by: 0,10.18293/SEKE2025-053,Codes (symbols); Computer programming languages; Computer systems programming; Defects; E-learnin...,,,Beyond_Test_Cases_MultiAgent_Collaboration_for.pdf
rayyan-394626698,Comparative Study on Test Case generation using Generative AI,2025,"Geração de Testes Unitários (Unit Test Generation). O foco é criar testes que garantam que o software atenda aos requisitos e padrões, medindo cobertura e qualidade.","Closed Source: GPT-4o (Melhor performance), GPT-3.5, OpenAI Codex Open Source: Llama 3.1 (8B, 70B, 405B), DeepSeek-Coder V2 (16B), CodeLlama (7B a 70B), Codestral 22B, Gemma 27B.","Utilizou o benchmark TestGenEval (baseado em 11 repositórios Python reais) e HumanEval . Ambiente de execução via Docker e scripts Python automatizados . O estudo discute o uso futuro de ""AI Agents"" e ""RAG"" (Retrieval Augmented Generation), mas o experimento principal foi via prompting direto.",A solução utiliza Prompting direto nos modelos via API (para modelos fechados) ou inferência local (para modelos abertos) . O fluxo é: Seleção do Modelo -> Seleção do Dataset -> Prompting -> Avaliação estatística . O estudo sugere o uso futuro de Chain of Thought (CoT) e Role-playing para melhorar a qualidade.,"Métrica: Cobertura de Código (Code Coverage) e Mutation Score . Resultados: GPT-4o atingiu 35.2% de cobertura e 18.8% de Mutation Score. O melhor Open Source foi Llama 3.1 70B com 30.6% de cobertura. Maturidade: Estudo comparativo acadêmico. Conclui que os modelos atuais ""ainda não estão no nível de equipes humanas de QA"".","Alucinações/Erros: Testes gerados com imports incorretos, variáveis indefinidas ou incompletos Janela de Contexto: Dificuldade em entender o escopo completo do código em projetos grandes Hardware: Modelos grandes (ex: Llama 3.1 405B) são difíceis de rodar localmente Lógica de Negócio: Modelos falham em capturar regras de negócio específicas e casos de borda (edge cases)","Eficiência: O estudo destaca o modelo DeepSeek-Coder V2 16B como uma opção viável para rodar localmente (""home setting"") com 28.2% de cobertura, equilibrando custo e performance . Autonomia/Updates: O artigo sugere explicitamente para trabalhos futuros o uso de Agentes de IA que possam ""criar arquivos e alterar códigos ou configurações automaticamente mantendo o contexto do projeto inteiro"" Estratégia de Contexto: Propõe ""Escopo Dinâmico"" (Dynamic Scope) para manter apenas partes importantes do código no contexto durante a geração em grandes projetos",,,,,,,366 - 369,"Azzam, Adham and Hany, Omar and Mansour, Hesham",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018464135&doi=10.1109%2FIMSA65733.2025.11166964&partnerID=40&md5=b86914aaa102a4a2761613b1734aa6aa,,,,,Cited by: 0,10.1109/IMSA65733.2025.11166964,Artificial intelligence; Open source software; Open systems; Closed source; Comparatives studies;...,,,Comparative_Study_on_Test_Case_generation_using_Generative_AI_vSm.pdf
