ID,Título do paper,Estudo / Ferramenta,Técnica (como),Fase (quando),SWEBOK,Tipo (o quê valida),ISO25010 alvo,Arquitetura,Atividade predominante,Prioridade,Observações
S01,Test Amplification for REST APIs via Single and Multi-agent LLM Systems,Agentic REST Amplifier (Baseado em LangGraph),Amplificação Iterativa via Multi-Agentes com Feedback de Execução,Integração / Regressão,Level: Integration / Tech: Specification-based (Interface-based),Functional API Testing / Test Coverage,"Functional Suitability, Compatibility",MAS (Multi-Agent System) - LangChain/LangGraph,Amplificação de Testes (Test Amplification),CI/CD Pipeline (Automated),Usa feedback de execução para refinar testes; depende da qualidade da doc OpenAPI; cita Llama 3.3 como alternativa futura para segurança.
S02,Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies,ThreatLens (ou Multi-Agent Threat Extractor),Comparação Single vs Multi-Agent (STRIDE Framework),Design / Planejamento (Threat Modeling),Level: System / Tech: Specification-based (Security Testing),Security / Robustness (Threat Identification),"Security, Reliability",Hybrid (Single Agent vs MAS),Modelagem de Ameaças / Identificação de Riscos,Design-time (Pre-coding / Early Testing),"Claude 3.7 Sonnet superou o o1/o3 em F1-Score; identificou ameaças ""novas"" fora do dataset (criatividade)."
S03,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,RAPT (Reinforcement Learning-based Adaptive Prompt Testing),RL-based Adaptive Testing (Contextual Multi-Armed Bandit),Teste de Sistema / Aceitação (Segurança/Safety),Level: System / Tech: Defect-based (Adversarial/Red Teaming),Security / Content Safety / Robustness,"Security (Integrity), Reliability",Hybrid (LLM Generator + RL Selector),Seleção e Priorização de Testes (Adaptive Selection),Pre-prod / Safety Guardrails,Foca em eficiência de consultas (query-efficiency); usa RL para aprender quais ataques funcionam em tempo real.
S04,DCA-Bench: A Benchmark for Dataset Curation Agents,DCA-Bench (Curator & Evaluator Agents),LLM Agent com Code Interpreter + Benchmark de Casos de Borda,Desenvolvimento / Preparação de Dados (Pre-processing),Level: Component/System / Tech: Data-driven Testing,Data Quality / Hidden Issues (Inconsistência de Dados),"Functional Suitability (Accuracy), Reliability",LLM-Assisted (com Tool Use: Code Interpreter),Curadoria e Validação de Datasets (Data Testing),Pipeline de Dados (DataOps / MLOps),"Compara GPT-4o, o3-mini e DeepSeek-R1; foca em descobrir problemas ""escondidos"" em arquivos de dados complexos."
S05,Mutation-Guided LLM-based Test Generation at Meta,TestGen-LLM / ACH (Automated Challenge Handling),Mutation-Guided Test Generation (Llama 3.1 70B),Desenvolvimento / Unidade (Regressão),Level: Unit / Tech: Code-based (Mutation Testing),Robustness / Regression / Mutation Score,"Reliability, Maintainability",LLM-Driven (Pipeline Industrial),"Geração de Casos de Teste (focada em ""matar"" mutantes)",CI/CD (Large-scale Production),Validado em escala real na Meta (Kotlin/Android); usa mutantes para guiar a IA a criar testes que detectam falhas sutis.
S06,ProphetAgent: Automatically Synthesizing GUI Tests from Test Cases in Natural Language for Mobile Apps,ProphetAgent (SemanticAgent + GenerationAgent),NLP-to-Code via CUTG (Comprehensive UI Transition Graph),Sistema / Aceitação (Mobile GUI),Level: System / Tech: Specification-based (NLP Driven),Functional GUI Testing / End-to-End (E2E),"Functional Suitability, Operability",MAS (Multi-Agent: Semantic + Generation Agents),Geração de Scripts de Teste (Natural Language to Executable),Pre-prod / Manual Test Automation,Validado em apps de larga escala (Douyin); usa grafos de transição de UI para guiar o LLM; depende de descrições de baixo nível.
S07,From Overload to Insight: Bridging Code Search and Code Review with LLMs,LLM-based Code Review Assistant (Protótipo Conceitual),Context-aware Summarization & Interactive Code Search,Desenvolvimento (Code Review / Static Analysis),Level: Component / Tech: Static Analysis (Peer Review),Code Quality / Maintainability / Logic Errors,"Maintainability, Functional Suitability",Human-in-the-Loop (Interação Homem-Máquina),Suporte à Revisão de Código (Quality Analysis),Development Phase (Pre-merge),Foco na redução da sobrecarga cognitiva do revisor; integra resultados de busca de código com a revisão.
S08,"AI-DRIVEN TOOLS IN MODERN SOFTWARE QUALITY ASSURANCE: AN ASSESSMENT OF BENEFITS, CHALLENGES, AND FUTURE DIRECTIONS",Framework Arquitetural Híbrido (Multi-Model),"RAG, ReAct Agents, Mutation Testing guiado por LLM e Análise Semântica via Transformers.",Todo o SDLC (Coding até Maintenance),"Unit, Integration, System / Specification-based & Code-based",Funcional e Não-Funcional (Estrutural),"Functional Suitability, Reliability, Maintainability",MAS (Multi-Agent System),"Orquestração, Geração e Self-Healing",CI/PreProd,"Evolução para adoção semi-industrial; identifica riscos de ""deskilling"" e alucinações em agentes ReAct."
S09,Beyond Test Cases: Multi-Agent Collaboration for Detecting Defects in Full-Score Code Implementations,Maveric,Formal Verification & Counterexample Generation (via LLM specs),Coding / Unit Testing,Unit / Specification-based,Funcional (Corretude Semântica),Functional Suitability,MAS (Multi-Agent System),Verificação Formal e Validação,CI/Automated,Abordagem híbrida (LLM + Métodos Formais); foca em defeitos semânticos onde testes tradicionais falham (falsos positivos de corretude).
S10,Comparative Study on Test Case generation using Generative AI,Comparative Benchmark (GPT-4o vs Open Source),Direct Prompting & Automated Scripting (Docker),Coding,Unit / Code-based,Funcional (Cobertura e Mutação),"Functional Suitability, Reliability",LLM-Driven (Scripted Execution),Geração e Benchmarking Comparativo,Experimental/Acadêmico,"GPT-4o lidera (35.2% cov), mas modelos ainda são inferiores a humanos; DeepSeek-V2 viável para ""home setting""; destaca falhas de contexto e imports."
