key,title,year,month,day,ReviewData,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5
rayyan-394626649,An Explainable Multimodal Framework with LLM Agents for Intracranial Hemorrhage Detection,2026,,,Lecture Notes in Computer Science,,16147,,3 - 12,"Punneshetty, Shashwath and Italiya, Dhyey and Agarwal, Vinti and Maurya, Chandresh Kumar and Agrawal, Amit",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018304220&doi=10.1007%2F978-3-032-06004-4_1&partnerID=40&md5=4d48ec079f845107d111d1e0cf5848df,,,,"Explainability in intracranial hemorrhage (ICH) diagnosis is essential for timely and accurate clinical decisions, especially in life–threatening situations. We propose a framework that generates explainable, clinically relevant text from 2D CT scans using two cooperative GPT-4o agents: a Multi-modal User Agent (MUA) and a Planner Agent. The MUA interprets scans with YOLOv10 (mosaic augmentation), SAM2, and clustering; the Planner selects tools and outputs key imaging parameters: bleed location, midline shift, calvarial fracture, and mass effect crucial for urgent interventions. Explainability is enforced via chain-of-thought prompting to ensure transparent decision-making. Experiments show YOLOv10 with mosaic improves mAP@0.5:0.95 by 4.1% over existing methods, and the LLM agents extract clinical parameters with 78.1% accuracy (Our code is available at https://github.com/Shashwathp/Explainable-ICH-Detection-with-LLM-Agents/tree/main). These results underscore the potential of explainable AI to enhance trust and reliability in critical healthcare applications. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0; All Open Access; Bronze Open Access | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC3",10.1007/978-3-032-06004-4_1,Decision making; Diagnosis; Medical imaging; Multi agent systems; Clinical decision; Clusterings;...,,,,,,,
rayyan-394626650,"37th IFIP WG 6.1 International Conference on Testing Software and Systems, ICTSS 2025",2026,,,Lecture Notes in Computer Science,,16107,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017047520&partnerID=40&md5=9a7310659c70ac0771e3de5e5d83d0ae,,,,"The proceedings contain 23 papers. The special focus in this conference is on Testing Software and Systems. The topics include: Time for Quiescence: Modelling Quiescent Behaviour in Testing via Time-Outs in Timed Automata; On Using Homing Sequences Instead of Distinguishing in FSM-Based Testing; testability Indicators for Refactoring; enhancing Path Testing with Eye-Tracking: A Human-Centric Approach to Functional Software Testing; Introducing CreaTest: A Framework for Test Case Generation in itemis CREATE; distributed Critical Test Generation for Cyber-Physical Systems; reusable Test Suites for Reinforcement Learning; Test Generation for Deep Reinforcement Learning Using LRP-Guided Mutation of Classified Configurations; Test Amplification for REST APIs via Single and Multi-agent LLM Systems; reverse Engineering for Input Modeling: Input Parameter Model Inference from Network Traces; Automating Performance Testing in CI/CD - Tools Evaluation; automated Exploration of Conversational Agents for the Synthesis of Testing Profiles; Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies; on the Evaluation of Test Suites Generated by Large Language Models; localization Testing in Video Games Using Text Recognition; assessing Test Scenarios for Autonomous Driving Using Probabilistic Model Checking; Passive Testing of Vehicular Embedded Systems: An Industrial Case Study with T-EARS and Napkin Studio; on the Use of Imbalanced Datasets for Learning-Based Vulnerability Detection; tracing Vulnerability Propagation Across Open Source Software Ecosystems; false Positive Detection in Instrumentation and Control System Testing; new Convex-Based Metamorphic Relations and Large-Scale Machine Learning Model Evaluation. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type",,,,,,,,,
rayyan-394626651,Automated Exploration of Conversational Agents for the Synthesis of Testing Profiles,2026,,,Lecture Notes in Computer Science,,16107,,213 - 230,"del Horno, Iván Sotillo and del Pozzo, Alejandro and Guerra, Esther and Lara, Juan De",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016906206&doi=10.1007%2F978-3-032-05188-2_14&partnerID=40&md5=7ab6a470dadc58360f0451b30dfb7f38,,,,"Conversational agents – or chatbots – are increasingly being used to access all sorts of services, like citizen services in city halls, customer support, or shopping. Moreover, recent advances in generative artificial intelligence are prompting the integration of conversational assistants into many applications, like programming IDEs, office automation software, or operating systems. Given the prominence of these agents, their correctness is a rising concern. However, automated and robust testing techniques for conversational systems are still needed. In this paper, we present a technique for extracting a model of a deployed chatbot (i.e., treated as a black-box) through the automated exploration of its functionality via Large Language Models. This model is used for automated testing by generating testing conversation profiles, which a user simulator employs to conduct focused conversations with the chatbot-under-test. We describe our tool support, and report on an evaluation showing that our exploration technique can accurately model the chatbot-under-test, and the subsequent testing can discover existing errors in the chatbot. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC6",10.1007/978-3-032-05188-2_14,Black-box testing; Chatbots; Computer systems programming; Information systems; Intelligent agent...,,,,,,,
rayyan-394626652,Test Amplification for REST APIs via Single and Multi-agent LLM Systems,2026,,,Lecture Notes in Computer Science,,16107,,161 - 177,"Nooyens, Robbe and Bardakci, Tolgahan and Beyazit, Mutlu and Demeyer, Serge",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016905732&doi=10.1007%2F978-3-032-05188-2_11&partnerID=40&md5=99a684064135afb0a18884b210cdff0c,,,,"REST APIs (Representational State Transfer Application Programming Interfaces) play a vital role in modern cloud-native applications. As these APIs grow in complexity and scale, ensuring their correctness and robustness becomes increasingly important. Automated testing is essential for identifying hidden bugs, particularly those that appear in edge cases or under unexpected inputs. However, creating comprehensive and effective test suites for REST APIs is challenging and often demands significant effort. In this paper, we investigate the use of large language model (LLM) systems—both single-agent and multi-agent setups—for amplifying existing REST API test suites. These systems generate additional test cases that aim to push the boundaries of the API, uncovering behaviors that might otherwise go untested. We present a comparative evaluation of the two approaches across several dimensions, including test coverage, bug detection effectiveness, and practical considerations such as computational cost and energy usage. Our evaluation demonstrates increased API coverage, identification of numerous bugs in the API under test, and insights into the computational cost and energy consumption of both approaches. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Included""}",10.1007/978-3-032-05188-2_11,Amplification; Application programming interfaces (API); Intelligent agents; Interface states; Mo...,,,,,,,
rayyan-394626653,Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies,2026,,,Lecture Notes in Computer Science,,16107,,231 - 247,"Zelenskiy, Leonid and Sadovykh, Andrey",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016904785&doi=10.1007%2F978-3-032-05188-2_15&partnerID=40&md5=f99ae9370a58abd4366247580d9c8511,,,,"Effective cybersecurity testing relies on accurate threat identification to guide test design and risk mitigation. Threat modelling plays a central role in this process by helping analysts anticipate potential vulnerabilities. However, traditional threat modelling is a manual, time-consuming task that requires significant expertise, which can limit its scalability and integration into modern testing workflows. This study investigates the use of large language models (LLMs) to support and partially automate threat modelling, aiming to improve both the efficiency and coverage of cybersecurity testing. Using the STRIDE framework, we evaluate two workflows: a single-agent approach and a two-agent collaboration. We apply three LLMs—o1, o3, and Sonnet—to a curated dataset comprising 24 system descriptions and 745 known threats. The results show that LLMs can accelerate the generation of structured threat models and identify plausible threats, including some not explicitly listed in the validation data. While LLM outputs still lack the depth and reliability of expert-created models, their use can help testers identify key risks earlier and focus test efforts more effectively. These findings suggest that LLMs can augment the threat modelling process as part of cybersecurity testing, reducing analyst workload and enhancing the overall security assurance process. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Included""} | USER-NOTES: {""Nicolas""=>[""analise de segurança ?""]}",10.1007/978-3-032-05188-2_15,Cybersecurity; Industrial management; Information systems; Information use; Network security; Cyb...,,,,,,,
rayyan-394626656,Labeling-free RAG-enhanced LLM for intelligent fault diagnosis via reinforcement learning,2026,,,Advanced Engineering Informatics,,69,,,"Xu, Jiamin and Xu, Zixuan and Jiang, Zhaohui and Chen, Zhiwen and Luo, Hao and Wang, Yalin and Gui, Weihua",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016314758&doi=10.1016%2Fj.aei.2025.103864&partnerID=40&md5=bc0f8a6c2413c25b5233b2d1fc343bd8,,,,"Large language models (LLMs)-based fault diagnosis methods leverage extensive general-domain knowledge to provide valuable insights for fault analysis and maintenance. However, due to the low frequency of faults occurrences in complex systems, LLMs often exhibit insufficient coverage of fault diagnosis-related knowledge. This limitation reduces their effectiveness in such applications. In this context, retrieval-augmented generation (RAG) has emerged as a promising solution by enriching LLMs with relevant expert knowledge. Most existing RAG frameworks rely on supervised learning, training the retrieval network with fault corpora, query sets, and corresponding annotated labels. However, the inherent randomness of LLMs leads to instability in generated responses. As a result, it becomes challenging to consistently determine the relevance of different retrieved documents. To mitigate this instability, multiple LLM calls are often required, which further complicates the labeling process. To address these challenges, this paper proposes a reinforcement learning-based RAG method (TG-RL-RAG) that avoids supervised labeling. The method employs graph-structured fault corpora, optimizes the retrieval strategy via proximal policy optimization (PPO). Furthermore, considering the steadily increasing of fault-related queries over time, the method introduces a progressively diminishing teacher-guidance strategy, employing the previously trained agent as a dynamic teacher to guide a new processing agent, enabling continual learning with new queries. Finally, the paper uses fault logs from a specific set of Type-1 and Type-2 heavy-duty trains over one year, and conducts comparative experiments to validate the effectiveness and necessity of the proposed method. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC3",10.1016/j.aei.2025.103864,Computer aided diagnosis; Failure analysis; Fault detection; Graphic methods; Information retriev...,,,,,,,
rayyan-394626657,"51st Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2025",2026,,,Lecture Notes in Computer Science,,16081,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016159497&partnerID=40&md5=5a1976d7b8b67a3a6ce4ee3ab840856d,,,,"The proceedings contain 82 papers. The special focus in this conference is on Software Engineering and Advanced Applications. The topics include: LLMs Based Data Augmentation Techniques for Python Code Refactoring; Empirical Analysis of OpenAI Embeddings for Semantic Code Review Comment Similarity; refactoring Detection Across Languages: Leveraging Java-Trained Models for Detecting Class-Level Refactorings in Kotlin; Towards a Service-Oriented Infrastructure for Distributed Systems with Heterogeneous AI Accelerators; Define-ML: An Approach to Ideate Machine Learning-Enabled Systems; MLTradeOps: Embedding Trade-Off Management into the MLOps Workflow; Extracting Design Patterns from Mined Component Models of ML-Enabled Systems; Quality by Prompt: LLM-Powered Transformation of Data Quality Requirements Into Great Expectations; ML Pipeline Insights Service for Rule-Based Assessment of Training Practices in Reinforcement Learning; Reconsidering Requirements Engineering: Human–AI Collaboration in AI-Native Software Development; challenges of Virtual Validation and Verification for Automotive Functions; a Systematic Approach to Fault Injection Test Case Generation in Practice; counterfactual Self-adaptation in Cyber-Physical Systems; exploring Explainability Requirements for Self-adaptive Systems; ethics-Based Requirements for Engineering Cyber-Physical Systems: A Literature Study; robot Mission Adaptation with Quantitative Guarantees; symbolic Runtime Verification and Adaptive Decision-Making for Robot-Assisted Dressing; configurable Abstraction of Signals Using Signal Temporal Logic; meta-Metamodel-Independent Model Transformations; Investigating the Role of LLMs Hyperparameter Tuning and Prompt Engineering to Support Domain Modeling; Towards Modeling Human-Agentic Collaborative Workflows: A BPMN Extension; an Automated Diagram Generator of Reference Solutions for Modeling Educators. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type",,,,,,,,,
rayyan-394626658,"Co-Design of Communication, Computing and Control in Cyber-Physical Systems, CoC3CPS 2025",2026,,,Lecture Notes in Computer Science,,15955,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014740058&partnerID=40&md5=1d302787f7ab9f246d930aeef4682c2c,,,,"The proceedings contain papers. The special focus in this conference is on . The topics include: Real-Time Control Selection over the Computing Continuum; temporal Intent-Aware Multi-agent Learning for Network Optimization; Dependable AI Inference - A Work-in-Progress on CPU, Co-processor and FPGA Approaches; Methodology for Test Case Allocation Based on a Formalized ODD; Safety-Aware Strategy Synthesis for Autonomous System of Systems with UPPAAL; from Bouncing Break-ins to Frictional Firewalls: Ideas About Interacting Requirements for Vehicle Safety and Security; a ThreatGet-Based Framework for Aligning System Security with the Cyber Resilience Act; i7Fuzzer: Neural-Guided Fuzzing for Enhancing Security Testing of Stateful Protocols; HyLLM-IDS: A Conceptual Hybrid LLM-Assisted Intrusion Detection Framework for Cyber-Physical Systems; PROTECTION: Provably Robust Intrusion Detection System for IoT Through Recursive Delegation; towards Credible Simulators: A Validation Methodology for Safety-Critical Virtual Testing; cybersecurity in Partitioned Space Embedded Systems; A GSN-Based Requirement Analysis of the EU AI Regulation; a Safety Argument Fragment Towards Safe Deployment of Performant Automated Driving Systems; certus: A Domain Specific Language for Confidence Assessment in Assurance Cases; doubt in Safety Claims is Inevitable: What is its Impact, What Can be Done About It?; ensuring Information Security in Inclusive Digital Environments; Functional Safety with Model-Based Safety Analysis: A Perspective from ARP4761A; High-Performance AI Inference for Agile Deployment on Space-Qualified Processors: A Performance Benchmarking Study; SCALOFT: An Initial Approach for Situation Coverage-Based Safety Analysis of an Autonomous Aerial Drone in a Mine Environment; trick or Treat: A Study of Human Detection of Manipulative Tactics in Phishing Emails; rational Verification in Repeated Security Games; quantitative Assessment of Energy Efficiency, Comfort, and Safety in an Intelligent Heating System Under False Data Injection Attacks; cyber-Safety Assessment of Wind Turbines: A Reachability Analysis Approach Against Cyber-Attacks; Scenario Hazard Prevention for Autonomous Driving Based on Improved STPA; applying Machine Learning Towards the Recognition of Driving Behavior. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC3",,,,,,,,,
rayyan-394626659,COMPASS: An Agent for MLIR Compilation Pass Pipeline Generation,2026,,,Lecture Notes in Computer Science,,15841,,215 - 232,"Zhang, Hongbin and Gao, Shihao and Liu, Yang and Xing, Mingjie and Wu, Yanjun and Zhao, Chen",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011349002&doi=10.1007%2F978-3-031-98208-8_13&partnerID=40&md5=0fa82d72dc5d7465257c8b18469f7053,,,,"MLIR is the state-of-the-art multi-level compilation infrastructure. It provides a reusable and extensible compiler intermediate representation (IR) framework that supports the collaboration of IRs across different levels. MLIR has been widely adopted in various compilers, forming a domain-specific compilation ecosystem. However, the features of MLIR also bring challenges to compilation pass pipeline arrangement. Managing mixed-level abstractions and diverse IR extensions requires significant expertise, which increases the complexity of developing MLIR compilation path. COMPASS is proposed as an agent to generate MLIR pass pipelines, aiming to simplify the construction process and reduce reliance on manual expertise. Confronted with uncertain compilation passes and fragmented domain-specific knowledge, we address the problem by decomposing it into a unified compilation methodology and an extensible knowledge base. To achieve this, COMPASS combines an MLIR knowledge base with a compilation path generator to automate pass pipeline arrangement. The knowledge base is constructed using a large language model (LLM), while the generator performs backtracking over a pass-selection tree. Evaluation on a range of MLIR-based compilers shows that COMPASS achieves a success rate exceeding 90% across 1,256 test cases, successfully generating pass pipelines and compiling source files to their corresponding target abstraction levels. These results demonstrate that COMPASS enables the automatic generation of pass pipelines for MLIR-based compilers, reducing the human effort involved in the MLIR ecosystem. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC3",10.1007/978-3-031-98208-8_13,Abstracting; Computer software reusability; Ecosystems; Electric generators; Knowledge based syst...,,,,,,,
rayyan-394626660,Collaborative LLM agents for flexible software development of intelligent industrial robot control systems,2025,,,Complex and Intelligent Systems,,11,12,,"Chen, Kezhou and Wang, Tao and Ni, Mingzhe and Cheng, Lianglun and Wang, Zhuowei and Chen, Chong",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019546806&doi=10.1007%2Fs40747-025-02051-z&partnerID=40&md5=69de04db2db87713c66f228b259b9ad8,,,,"Software plays a crucial role in robot control systems, and its efficient, flexible development is essential for production. Such software must be customized to specific production processes, requiring developers with specialized expertise in these areas—the high development threshold results in reduced efficiency and increased costs. Recently, significant progress has been made in automated problem-solving through societies of agents based on large language models (LLMs). To automate software development for industrial robot control systems, this paper introduces an Industrial Robot Control Software Auto-Development (IRCSAD) framework with multi-agent collaboration, and a Low-code Industrial Software Platform (LISP) for validating IRCSAD-developed software. IRCSAD automates software development and iterative optimization of prompts through the collaboration of multiple LLM-based agents. This work also proposes a software testing methodology for robot control systems based on reliability assessment. An experimental study that develops software for the robot control system for assembly, sorting, and inspection tasks is implemented. The results show that collaboration with LISP enhances IRCSAD's ability to solve complex problems in the development process, saves development costs, and improves development efficiency. © 2025 Elsevier B.V., All rights reserved.","Cited by: 0 | RAYYAN-INCLUSION: {""Nicolas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: EC3",10.1007/s40747-025-02051-z,,,,,,,,
