Coluna 1,type_of_reference,authors,title,year,secondary_title,volume,start_page,end_page,doi,urls,abstract,keywords,type_of_work,name_of_database,notes,custom7,number,short_title,asreview_label,asreview_time,asreview_note
83,CONF,"['Xu, H.', 'Ma, W.', 'Zhou, T.', 'Zhao, Y.', 'Chen, K.', 'Hu, Q.', 'Liu, Y.', 'Wang, H.']",CKGFuzzer: LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph,2025,Proceedings - International Conference on Software Engineering,,243,254,10.1109/ICSE-Companion66252.2025.00079,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008497196&doi=10.1109%2FICSE-Companion66252.2025.00079&partnerID=40&md5=3f96e9b2e02faa23fe1edaa25aa1a65b'],"In recent years, the programming capabilities of large language models (LLMs) have garnered significant attention. Fuzz testing, a highly effective technique, plays a key role in enhancing software reliability and detecting vulnerabilities. However, traditional fuzz testing tools rely on manually crafted fuzz drivers, which can limit both testing efficiency and effectiveness. To address this challenge, we propose an automated fuzz testing method driven by a code knowledge graph and powered by an LLM-based intelligent agent system, referred to as CKGFuzzer. We approach fuzz driver creation as a code generation task, leveraging the knowledge graph of the code repository to automate the generation process within the fuzzing loop, while continuously refining both the fuzz driver and input seeds. The code knowledge graph is constructed through interprocedural program analysis, where each node in the graph represents a code entity, such as a function or a file. The knowledge graph-enhanced CKGFuzzer not only effectively resolves compilation errors in fuzz drivers and generates input seeds tailored to specific API usage scenarios, but also analyzes fuzz driver crash reports, assisting developers in improving code quality. By querying the knowledge graph of the code repository and learning from API usage scenarios, we can better identify testing targets and understand the specific purpose of each fuzz driver. We evaluated our approach using eight open-source software projects. The experimental results indicate that CKGFuzzer achieved an average improvement of 8.73% in code coverage compared to state-of-the-art techniques. Additionally, CKGFuzzer reduced the manual review workload in crash case analysis by 84.4% and successfully detected 11 real bugs (including nine previously unreported bugs) across the tested libraries. Our research enhances the overall performance of fuzz testing by refining fuzz driver generation strategies and input seed analysis, offering a more effective solution for vulnerability remediation and software quality improvement. © 2025 Elsevier B.V., All rights reserved.","['bug detection', 'fuzzing', 'large language model', 'Accidents', 'Application programming interfaces (API)', 'Codes (symbols)', 'Computer software selection and evaluation', 'Graph theory', 'Intelligent agents', 'Knowledge graph', 'Open source software', 'Open systems', 'Software quality', 'Software reliability', 'Software testing', 'Bug detection', 'Fuzz Testing', 'Fuzzing', 'Knowledge graphs', 'Language model', 'Large language model', 'Model-based OPC', 'Software-Reliability', 'Testing tools', 'Usage scenarios', 'Quality control']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:47:45,
105,CONF,"['Sakai, Y.', 'Tahara, Y.', 'Ohsuga, A.', 'Sei, Y.']",Using LLM-Based Deep Reinforcement Learning Agents to Detect Bugs in Web Applications,2025,International Conference on Agents and Artificial Intelligence,3,1001,1008,10.5220/0013248800003890,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001979448&doi=10.5220%2F0013248800003890&partnerID=40&md5=e11343925c0bfbc45c2e1839fd45504a'],"This paper presents an approach to automate black-box GUI testing for web applications by integrating deep reinforcement learning (DRL) with large language models (LLMs). Traditional GUI testing is often inefficient and costly due to the difficulty in generating comprehensive test scenarios. While DRL has shown potential in automating exploratory testing by leveraging GUI interaction data, such data is browser-dependent and not always accessible in web applications. To address this challenge, we propose using LLMs to infer interaction information directly from HTML code, incorporating these inferences into the DRL’s state representation. We hypothesize that combining the inferential capabilities of LLMs with the robustness of DRL can match the accuracy of methods relying on direct data collection. Through experiments, we demonstrate that LLM-inferred interaction information effectively substitutes for direct data, enhancing both the efficiency and accuracy of automated GUI testing. Our results indicate that this approach not only streamlines GUI testing for web applications but also has broader implications for domains where direct state information is hard to obtain. The study suggests that integrating LLMs with DRL offers a promising path toward more efficient and scalable automation in GUI testing. © 2025 Elsevier B.V., All rights reserved.","['Automated Testing', 'Black-Box GUI Testing', 'Deep Reinforcement Learning', 'Large Language Model', 'Web Applications']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:48:24,
4,CONF,"['Zelenskiy, L.', 'Sadovykh, A.']",Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies,2026,Lecture Notes in Computer Science,16107 LNCS,231,247,10.1007/978-3-032-05188-2_15,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016904785&doi=10.1007%2F978-3-032-05188-2_15&partnerID=40&md5=f99ae9370a58abd4366247580d9c8511'],"Effective cybersecurity testing relies on accurate threat identification to guide test design and risk mitigation. Threat modelling plays a central role in this process by helping analysts anticipate potential vulnerabilities. However, traditional threat modelling is a manual, time-consuming task that requires significant expertise, which can limit its scalability and integration into modern testing workflows. This study investigates the use of large language models (LLMs) to support and partially automate threat modelling, aiming to improve both the efficiency and coverage of cybersecurity testing. Using the STRIDE framework, we evaluate two workflows: a single-agent approach and a two-agent collaboration. We apply three LLMs—o1, o3, and Sonnet—to a curated dataset comprising 24 system descriptions and 745 known threats. The results show that LLMs can accelerate the generation of structured threat models and identify plausible threats, including some not explicitly listed in the validation data. While LLM outputs still lack the depth and reliability of expert-created models, their use can help testers identify key risks earlier and focus test efforts more effectively. These findings suggest that LLMs can augment the threat modelling process as part of cybersecurity testing, reducing analyst workload and enhancing the overall security assurance process. © 2025 Elsevier B.V., All rights reserved.","['Cybersecurity', 'Large Language Models', 'Threat modelling', 'Cybersecurity', 'Industrial management', 'Information systems', 'Information use', 'Network security', 'Cyber security', 'Language model', 'Large language model', 'Risk mitigation', 'System description', 'Test designs', 'Threat identification', 'Threat modeling', 'Two agents', 'Work-flows', 'Integration testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:48:45,
88,CONF,"['Tomic, S.', 'Alégroth, E.', 'Isaac, M.']",Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,2025,,,487,497,10.1109/ICST62969.2025.10989038,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007519090&doi=10.1109%2FICST62969.2025.10989038&partnerID=40&md5=a9c1278607d06e5157ef49503bf355f4'],"Automated testing, particularly for GUI-based systems, remains a costly and labor-intensive process and prone to errors. Despite advancements in automation, manual testing still dominates in industrial practice, resulting in delays, higher costs, and increased error rates. Large Language Models (LLMs) have shown great potential to automate tasks traditionally requiring human intervention, leveraging their cognitive-like abilities for test generation and evaluation. In this study, we present PathFinder, a Multi-Agent LLM (MALLM) framework that incorporates four agents responsible for (a) perception and summarization, (b) decision-making, (c) input handling and extraction, and (d) validation, which work collaboratively to automate exploratory web-based GUI testing. The goal of this study is to assess how different LLMs, applied to different agents, affect the efficacy of automated exploratory GUI testing. We evaluate PathFinder with three models, Mistral-Nemo, Gemma2, and Llama3.1, on four e-commerce websites. Thus, 27 permutations of the LLMs, across three agents (excluding the validation agent), to test the hypothesis that a solution with multiple agents, each using different LLMs, is more efficacious (efficient and effective) than a multi-agent solution where all agents use the same LLM. The results indicate that the choice of LLM constellation (combination of LLMs) significantly impacts efficacy, suggesting that a single LLM across agents may yield the best balance of efficacy (measured by F1-score). Hypothesis to explain this result include, but are not limited to: improved decision-making consistency and reduced task coordination discrepancies. The contributions of this study are an architecture for MALLM-based GUI testing, empirical results on its performance, and novel insights into how LLM selection impacts the efficacy of automated testing. © 2025 Elsevier B.V., All rights reserved.","['AI-Assisted Software Testing', 'Automated Testing', 'Large Language Models (LLMs)', 'MALLM', 'Multi-Agent Systems', 'Ability testing', 'Autonomous agents', 'C (programming language)', 'Intelligent agents', 'Model checking', 'Software testing', 'AI-assisted software testing', 'Automated testing', 'GUI testing', 'Language model', 'Large language model', 'Multi agent', 'Multi-agent LLM', 'Multiagent systems (MASs)', 'Software testings', 'Test generations', 'Automatic test pattern generation']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:49:00,
149,CONF,"['Yoon, J.', 'Feldt, R.', 'Yoo, S.']",Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents,2024,,,129,139,10.1109/ICST60714.2024.00020,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203242246&doi=10.1109%2FICST60714.2024.00020&partnerID=40&md5=da75e662900ea316debff970ce334a1b'],"GUI testing checks if a software system behaves as expected when users interact with its graphical interface, e.g., testing specific functionality or validating relevant use case scenarios. Currently, deciding what to test at this high level is a manual task since automated GUI testing tools target lower level adequacy metrics such as structural code coverage or activity coverage. We propose DroidAgent, an autonomous GUI testing agent for Android, for semantic, intent-driven automation of GUI testing. It is based on Large Language Models and support mechanisms such as long- and short-term memory. Given an Android app, DroidAgent sets relevant task goals and subsequently tries to achieve them by interacting with the app. Our empirical evaluation of DroidAgent using 15 apps from the Themis benchmark shows that it can set up and perform realistic tasks, with a higher level of autonomy. For example, when testing a messaging app, DroidAgent created a second account and added a first account as a friend, testing a realistic use case, without human intervention. On average, DroidAgent achieved 61% activity coverage, compared to 51 % for current state-of-the-art GUI testing techniques. Further, manual analysis shows that 317 out of the 547 autonomously created tasks are realistic and relevant to app functionalities, and also that DroidAgent interacts deeply with the apps and covers more features. © 2024 Elsevier B.V., All rights reserved.","['artificial intelligence', 'GUI testing', 'large language model', 'software testing', 'test automation', 'Autonomous agents', 'Benchmarking', 'Graphical user interfaces', 'High level languages', 'Mobile agents', 'Mobile applications', 'Model checking', 'Software testing', 'Graphical interface', 'GUI testing', 'Language model', 'Large language model', 'Model agents', 'Software testings', 'Software-systems', 'Test Automation', 'Testing tools', 'Use case scenario', 'Semantics']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 14'],,,,1,2025-11-26 18:49:39,
173,CONF,"['Feldt, R.', 'Kang, S.', 'Yoon, J.', 'Yoo, S.']",Towards Autonomous Testing Agents via Conversational Large Language Models,2023,,,1688,1693,10.1109/ASE56229.2023.00148,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179005153&doi=10.1109%2FASE56229.2023.00148&partnerID=40&md5=a280bae3f3cc3d999608c16f706082cd'],"Software testing is an important part of the development cycle, yet it requires specialized expertise and substantial developer effort to adequately test software. Recent discoveries of the capabilities of large language models (LLMs) suggest that they can be used as automated testing assistants, and thus provide helpful information and even drive the testing process. To highlight the potential of this technology, we present a taxonomy of LLM-based testing agents based on their level of autonomy, and describe how a greater level of autonomy can benefit developers in practice. An example use of LLMs as a testing assistant is provided to demonstrate how a conversational framework for testing can help developers. This also highlights how the often criticized 'hallucination' of LLMs can be beneficial for testing. We identify other tangible benefits that LLM-driven testing agents can bestow, and also discuss potential limitations. © 2023 Elsevier B.V., All rights reserved.","['artificial intelligence, test automation', 'large language model', 'machine learning', 'software testing', 'Autonomous agents', 'Computational linguistics', 'Learning systems', 'Machine learning', 'Artificial intelligence, test automation', 'Development cycle', 'Intelligence tests', 'Language model', 'Large language model', 'Level of autonomies', 'Machine-learning', 'Software testings', 'Test Automation', 'Testing agents', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 19'],,,,1,2025-11-26 18:51:10,
159,CONF,"['Garlapati, A.', 'Parmesh, M.N.V.S.S.M.', 'Jaisri, S.']",AI-Powered Multi-Agent Framework for Automated Unit Test Case Generation: Enhancing Software Quality through LLM's,2024,,,,,10.1109/GCAT62922.2024.10923987,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002210499&doi=10.1109%2FGCAT62922.2024.10923987&partnerID=40&md5=5ab5972bdb1effde4abdc467aec1d3bb'],"Recent years have witnessed an enormous rise in the design, repair and the enhancement of software automation tests. The reliability of program's unit testing has major impact on its overall performance. The anticipated influence of Artificial Intelligence advancements on test automation methodologies are significant. Many studies on automated testing implicitly assume that the test results are deterministic, means that similar tests faults remain same. The precision of software is largely ensured by unit testing. But writing unit tests manually is a time-consuming process, which leads us to drive into ""Automation Analysis"". Recent years comprised the application of Large Language Models (LLM's) in numerous fields related to software development, especially the automated creation of unit testing.However, these frameworks require more instructions, or few shot learnings on sample tests that already exist. This research provides a comprehensive empirical assessment of the efficiency of LLM's for automating unit testing production, with no need for further manual analysis. The method we employ is put into practice for test cases, an adaptable Agents and LLM-based testing framework that evaluates test cases generated, by reviewing and re-writing them in different phases. Evaluation of this test cases was done by using mistral-large LLM Model. The analysis results that developed acquired an overall coverage of 100% for code given. Finally, to enhance the typical evaluation, this research suggests and concludes that LLMs, can be successfully incorporated into present practices, through adaptative instructions and improvements. © 2025 Elsevier B.V., All rights reserved.","['Agents', 'Artificial Intelligence', 'Automation', ""Large Language Models - LLM's"", 'Manual Testing', 'Unit Tests', 'Application programs', 'Automatic test pattern generation', 'Computer software selection and evaluation', 'Intelligent agents', 'Model checking', 'Software design', 'Software quality', 'Software reliability', 'Automated units', 'Language model', 'Large language model - large language model', 'Manual testing', 'Multiagent framework', 'Test case', 'Test case generation', 'Unit testing', 'Unit tests', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:51:25,
110,JOUR,"['Xu, C.', 'Liu, Z.', 'Ren, X.', 'Zhang, G.', 'Liang, M.', 'Lo, D.']",FlexFL: Flexible and Effective Fault Localization With Open-Source Large Language Models,2025,IEEE Transactions on Software Engineering,51,1455,1471,10.1109/TSE.2025.3553363,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000368545&doi=10.1109%2FTSE.2025.3553363&partnerID=40&md5=fb2b1f9a800980a644f4ff5a2d40e048'],"Fault localization (FL) targets identifying bug locations within a software system, which can enhance debugging efficiency and improve software quality. Due to the impressive code comprehension ability of Large Language Models (LLMs), a few studies have proposed to leverage LLMs to locate bugs, i.e., LLM-based FL, and demonstrated promising performance. However, first, these methods are limited in flexibility. They rely on bug-triggering test cases to perform FL and cannot make use of other available bug-related information, e.g., bug reports. Second, they are built upon proprietary LLMs, which are, although powerful, confronted with risks in data privacy. To address these limitations, we propose a novel LLM-based FL framework named FlexFL, which can flexibly leverage different types of bug-related information and effectively work with open-source LLMs. FlexFL is composed of two stages. In the first stage, FlexFL reduces the search space of buggy code using state-of-the-art FL techniques of different families and provides a candidate list of bug-related methods. In the second stage, FlexFL leverages LLMs to delve deeper to double-check the code snippets of methods suggested by the first stage and refine fault localization results. In each stage, FlexFL constructs agents based on open-source LLMs, which share the same pipeline that does not postulate any type of bug-related information and can interact with function calls without the out-of-the-box capability. Extensive experimental results on Defects4J demonstrate that FlexFL outperforms the baselines and can work with different open-source LLMs. Specifically, FlexFL with a lightweight open-source LLM Llama3-8B can locate 42 and 63 more bugs than two state-of-the-art LLM-based FL approaches AutoFL and AgentFL that both use GPT-3.5. In addition, FlexFL can localize 93 bugs that cannot be localized by non-LLM-based FL techniques at the top 1. Furthermore, to mitigate potential data contamination, we conduct experiments on a dataset which Llama3-8B has not seen before, and the evaluation results show that FlexFL can also achieve good performance. © 2025 Elsevier B.V., All rights reserved.","['Fault localization', 'large language model', 'LLM-based agent', 'Computer debugging', 'Computer software selection and evaluation', 'Open source software', 'Outages', 'Problem oriented languages', 'Reliability analysis', 'Software agents', 'Software testing', 'Fault localization', 'Language model', 'Large language model', 'Large language model-based agent', 'Localization technique', 'Model-based OPC', 'Open-source', 'Performance', 'State of the art', 'Program debugging']",Article,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,5,,1,2025-11-26 18:53:37,
78,CONF,"['Garaccione, G.', 'Vega Carrazan, P.F.', 'Coppola, R.', 'Ardito, L.']",Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling,2025,,,41,44,10.1109/NLBSE66842.2025.00015,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009455501&doi=10.1109%2FNLBSE66842.2025.00015&partnerID=40&md5=d12f20478491ad5511e9f1f6a136af9a'],"In recent years, Large Language Models (LLMs) have been extensively used in several Software Engineering tasks, from requirements analysis to coding and software testing. Research has proved that LLMs can effectively generate software models to assist in software documentation. The goal of this study is to assess the capability of LLM agents to generate UML Use Case Diagrams (UCD), starting from software requirements in natural language. We perform the assessment in an educational setting, i.e., we evaluate the capability to solve software modeling exercises tailored for master's students in SE curricula. Our results, based on the comparison of the results obtained by a human and an LLM solver on 17 UCD modeling exercises, show that LLMs have comparable results in terms of completeness and redundancy of the generated diagrams, with no significant difference if compared to human-proposed solutions. © 2025 Elsevier B.V., All rights reserved.","['Large Language Models', 'Software Modeling', 'Use Case Diagrams', 'Software agents', 'Unified Modeling Language', 'Engineering tasks', 'Language model', 'Large language model', 'Model agents', 'Requirement analysis', 'Software documentation', 'Software modeling', 'Software testings', 'UML use case', 'Use cases diagrams', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:55:39,
135,CONF,"['Jin, H.', 'Sun, Z.', 'Chen, H.']",RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,2024,,,136,141,10.1109/ICA63002.2024.00037,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215607472&doi=10.1109%2FICA63002.2024.00037&partnerID=40&md5=bad4ee6cce20c207147b12cb02bf5210'],"Large Language Models (LLMs) have shown incredible potential in code generation tasks, and recent research in prompt engineering have enhanced LLMs' understanding of textual information. However, ensuring the accuracy of generated code often requires extensive testing and validation by programmers. While LLMs can typically generate code based on task descriptions, their accuracy remains limited, especially for complex tasks that require a deeper understanding of both the problem statement and the code generation process. This limitation is primarily due to the LLMs' need to simultaneously comprehend text and generate syntactically and semantically correct code, without having the capability to automatically refine the code. In real-world software development, programmers seldom produce flawless code on their first attempt. Instead, iterative feedback and debugging are heavily leveraged to refine the programs. Inspired by this process, we introduce a novel architecture of LLM-based agents for code generation and automatic debugging: Refinement and Guidance Debugging (RGD). The RGD framework is a multi-LLM-based agent debugger that leverages three distinct LLM agents-Guide Agent, Debug Agent, and Feedback Agent. RGD decomposes the code generation task into multiple steps, ensuring a clearer workflow and enabling iterative code refinement based on self-reflection and feedback. Experimental results demonstrate that RGD exhibits remarkable code generation capabilities, achieving state-of-the-art performance with a 9.8% improvement on the HumanEval dataset and a {1 6. 2%} improvement on the MBPP dataset compared to the state-of-theart approaches and traditional direct prompting approaches. We highlight the effectiveness of the RGD framework in enhancing LLMs' ability to generate and refine code autonomously. © 2025 Elsevier B.V., All rights reserved.","['Automatic Debugging', 'Code Debugging', 'Code Generation', 'Large Language Models', 'Multi-Agent System', 'Automatic programming', 'Autonomous agents', 'Behavioral research', 'Computer debugging', 'Error correction', 'Intelligent agents', 'Model checking', 'Problem oriented languages', 'Program debugging', 'Software architecture', 'Software testing', 'Automatic debugging', 'Code debugging', 'Codegeneration', 'Debuggers', 'Language model', 'Large language model', 'Model understanding', 'Model-based OPC', 'Multiagent systems (MASs)', 'Recent researches', 'Software design']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:56:04,
